threshold,CXR_VAL_macro_f1,CXR_VAL_recall_pneumonia,CHEXPERT_macro_f1,CHEXPERT_recall_pneumonia
0.835,0.34048354844573714,0.0,0.3333333333333333,0.0
0.84,0.34048354844573714,0.0,0.3333333333333333,0.0
0.845,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8499999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8549999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8599999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8649999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8699999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8749999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8799999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8849999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8899999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8949999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8999999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.9049999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.9099999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.9149999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.9199999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.9249999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.9299999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.9349999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.94,0.34048354844573714,0.0,0.3333333333333333,0.0
0.945,0.34048354844573714,0.0,0.3333333333333333,0.0
0.95,0.34048354844573714,0.0,0.3333333333333333,0.0
